DATE,GEO,Age,Sex,Cancer_type,Characteristics,UOM,VALUE,Age_group
2012,Canada,"Total, all ages",Females,"Total, all primary sites of cancer",Number of new cancer cases,Number,95005,Total
2012,Canada,"Total, all ages",Females,Lip,Number of new cancer cases,Number,125,Total
2012,Canada,"Total, all ages",Females,Tongue,Number of new cancer cases,Number,365,Total
2012,Canada,"Total, all ages",Females,Salivary gland,Number of new cancer cases,Number,205,Total
2012,Canada,"Total, all ages",Females,Floor of mouth,Number of new cancer cases,Number,65,Total
2012,Canada,"Total, all ages",Females,Gum and other mouth,Number of new cancer cases,Number,250,Total
2012,Canada,"Total, all ages",Females,Nasopharynx,Number of new cancer cases,Number,80,Total
2012,Canada,"Total, all ages",Females,Oropharynx,Number of new cancer cases,Number,45,Total
2012,Canada,"Total, all ages",Females,Hypopharynx,Number of new cancer cases,Number,35,Total
2012,Canada,"Total, all ages",Females,Other oral cavity and pharynx,Number of new cancer cases,Number,215,Total
2012,Canada,"Total, all ages",Females,Esophagus,Number of new cancer cases,Number,455,Total
2012,Canada,"Total, all ages",Females,Stomach,Number of new cancer cases,Number,1245,Total
2012,Canada,"Total, all ages",Females,Small intestine,Number of new cancer cases,Number,425,Total
2012,Canada,"Total, all ages",Females,Colon and rectum,Number of new cancer cases,Number,10630,Total
2012,Canada,"Total, all ages",Females,Colon excluding rectum,Number of new cancer cases,Number,7610,Total
2012,Canada,"Total, all ages",Females,Rectum and rectosigmoid,Number of new cancer cases,Number,3015,Total
2012,Canada,"Total, all ages",Females,"Anus, anal canal and anorectum",Number of new cancer cases,Number,415,Total
2012,Canada,"Total, all ages",Females,Liver and intrahepatic bile ducts,Number of new cancer cases,Number,975,Total
2012,Canada,"Total, all ages",Females,Liver,Number of new cancer cases,Number,620,Total
2012,Canada,"Total, all ages",Females,Intrahepatic bile ducts,Number of new cancer cases,Number,355,Total
2012,Canada,"Total, all ages",Females,Gallbladder,Number of new cancer cases,Number,305,Total
2012,Canada,"Total, all ages",Females,Pancreas,Number of new cancer cases,Number,2515,Total
2012,Canada,"Total, all ages",Females,Other digestive system,Number of new cancer cases,Number,975,Total
2012,Canada,"Total, all ages",Females,Larynx,Number of new cancer cases,Number,215,Total
2012,Canada,"Total, all ages",Females,Lung and bronchus,Number of new cancer cases,Number,13040,Total
2012,Canada,"Total, all ages",Females,Other respiratory system,Number of new cancer cases,Number,205,Total
2012,Canada,"Total, all ages",Females,Bones and joints,Number of new cancer cases,Number,180,Total
2012,Canada,"Total, all ages",Females,Soft tissue (including heart),Number of new cancer cases,Number,565,Total
2012,Canada,"Total, all ages",Females,Melanomas of the skin,Number of new cancer cases,Number,3015,Total
2012,Canada,"Total, all ages",Females,Other non-epithelial skin,Number of new cancer cases,Number,405,Total
2012,Canada,"Total, all ages",Females,Breast,Number of new cancer cases,Number,23900,Total
2012,Canada,"Total, all ages",Females,Cervix uteri,Number of new cancer cases,Number,1520,Total
2012,Canada,"Total, all ages",Females,Corpus uteri,Number of new cancer cases,Number,5785,Total
2012,Canada,"Total, all ages",Females,"Uterus, not otherwise specified",Number of new cancer cases,Number,120,Total
2012,Canada,"Total, all ages",Females,Ovary,Number of new cancer cases,Number,2720,Total
2012,Canada,"Total, all ages",Females,Other female genital system,Number of new cancer cases,Number,1100,Total
2012,Canada,"Total, all ages",Females,Urinary bladder (including in situ),Number of new cancer cases,Number,2420,Total
2012,Canada,"Total, all ages",Females,Kidney and renal pelvis,Number of new cancer cases,Number,2295,Total
2012,Canada,"Total, all ages",Females,Ureter,Number of new cancer cases,Number,90,Total
2012,Canada,"Total, all ages",Females,Other urinary organs,Number of new cancer cases,Number,115,Total
2012,Canada,"Total, all ages",Females,Eye and orbit,Number of new cancer cases,Number,185,Total
2012,Canada,"Total, all ages",Females,Brain,Number of new cancer cases,Number,1130,Total
2012,Canada,"Total, all ages",Females,Cranial nerves and other nervous system,Number of new cancer cases,Number,115,Total
2012,Canada,"Total, all ages",Females,Thyroid,Number of new cancer cases,Number,4820,Total
2012,Canada,"Total, all ages",Females,Other endocrine,Number of new cancer cases,Number,195,Total
2012,Canada,"Total, all ages",Females,Hodgkin lymphoma,Number of new cancer cases,Number,415,Total
2012,Canada,"Total, all ages",Females,Non-Hodgkin lymphoma,Number of new cancer cases,Number,3780,Total
2012,Canada,"Total, all ages",Females,Myeloma,Number of new cancer cases,Number,1240,Total
2012,Canada,"Total, all ages",Females,Acute lymphocytic leukemia,Number of new cancer cases,Number,200,Total
2012,Canada,"Total, all ages",Females,Chronic lymphocytic leukemia,Number of new cancer cases,Number,865,Total
2012,Canada,"Total, all ages",Females,Acute myeloid leukemia,Number of new cancer cases,Number,600,Total
2012,Canada,"Total, all ages",Females,Chronic myeloid leukemia,Number of new cancer cases,Number,330,Total
2012,Canada,"Total, all ages",Females,Other leukemia,Number of new cancer cases,Number,320,Total
2012,Canada,"Total, all ages",Females,"Other, ill-defined and unknown sites",Number of new cancer cases,Number,3655,Total
2012,Canada,"Total, all ages",Females,Mesothelioma,Number of new cancer cases,Number,125,Total
2012,Canada,"Total, all ages",Females,Kaposi sarcoma,Number of new cancer cases,Number,20,Total
2012,Canada,0 to 4 years,Females,"Total, all primary sites of cancer",Number of new cancer cases,Number,240,Child
2012,Canada,0 to 4 years,Females,Lip,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Tongue,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Salivary gland,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Floor of mouth,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Gum and other mouth,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Nasopharynx,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Oropharynx,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Hypopharynx,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Other oral cavity and pharynx,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Esophagus,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Stomach,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Small intestine,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Colon and rectum,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Colon excluding rectum,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Rectum and rectosigmoid,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,"Anus, anal canal and anorectum",Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Liver and intrahepatic bile ducts,Number of new cancer cases,Number,5,Child
2012,Canada,0 to 4 years,Females,Liver,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Intrahepatic bile ducts,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Gallbladder,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Pancreas,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Other digestive system,Number of new cancer cases,Number,5,Child
2012,Canada,0 to 4 years,Females,Larynx,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Lung and bronchus,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Other respiratory system,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Bones and joints,Number of new cancer cases,Number,5,Child
2012,Canada,0 to 4 years,Females,Soft tissue (including heart),Number of new cancer cases,Number,20,Child
2012,Canada,0 to 4 years,Females,Melanomas of the skin,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Other non-epithelial skin,Number of new cancer cases,Number,5,Child
2012,Canada,0 to 4 years,Females,Breast,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Cervix uteri,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Corpus uteri,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,"Uterus, not otherwise specified",Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Ovary,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Other female genital system,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Urinary bladder (including in situ),Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Kidney and renal pelvis,Number of new cancer cases,Number,20,Child
2012,Canada,0 to 4 years,Females,Ureter,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Other urinary organs,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Eye and orbit,Number of new cancer cases,Number,10,Child
2012,Canada,0 to 4 years,Females,Brain,Number of new cancer cases,Number,30,Child
2012,Canada,0 to 4 years,Females,Cranial nerves and other nervous system,Number of new cancer cases,Number,5,Child
2012,Canada,0 to 4 years,Females,Thyroid,Number of new cancer cases,Number,0,Child
2012,Canada,0 to 4 years,Females,Other endocrine,Number of new cancer cases,Number,20,Child
