DATE,GEO,Sex,Cancer_type,Characteristics,UOM,VALUE,Age_group
2012,Newfoundland and Labrador,Females,Stomach,Number of new cancer cases,Number,0,Child
2012,Newfoundland and Labrador,Females,Colon and rectum,Number of new cancer cases,Number,0,Child
2012,Newfoundland and Labrador,Females,Liver,Number of new cancer cases,Number,0,Child
2012,Newfoundland and Labrador,Females,Lung and bronchus,Number of new cancer cases,Number,0,Child
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,0,Child
2012,Newfoundland and Labrador,Females,Stomach,Number of new cancer cases,Number,0,Young Adults
2012,Newfoundland and Labrador,Females,Colon and rectum,Number of new cancer cases,Number,0,Young Adults
2012,Newfoundland and Labrador,Females,Liver,Number of new cancer cases,Number,0,Young Adults
2012,Newfoundland and Labrador,Females,Lung and bronchus,Number of new cancer cases,Number,0,Young Adults
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,0,Young Adults
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,5,Young Adults
2012,Newfoundland and Labrador,Females,Stomach,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Newfoundland and Labrador,Females,Colon and rectum,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Newfoundland and Labrador,Females,Liver,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Newfoundland and Labrador,Females,Lung and bronchus,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Newfoundland and Labrador,Females,Lung and bronchus,Number of new cancer cases,Number,5,Middle-aged Adults
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,15,Middle-aged Adults
2012,Newfoundland and Labrador,Females,Stomach,Number of new cancer cases,Number,5,Middle-aged Adults
2012,Newfoundland and Labrador,Females,Colon and rectum,Number of new cancer cases,Number,10,Middle-aged Adults
2012,Newfoundland and Labrador,Females,Stomach,Number of new cancer cases,Number,0,Old-aged Adults
2012,Newfoundland and Labrador,Females,Colon and rectum,Number of new cancer cases,Number,10,Old-aged Adults
2012,Newfoundland and Labrador,Females,Liver,Number of new cancer cases,Number,0,Old-aged Adults
2012,Newfoundland and Labrador,Females,Lung and bronchus,Number of new cancer cases,Number,10,Old-aged Adults
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,35,Old-aged Adults
2012,Newfoundland and Labrador,Females,Colon and rectum,Number of new cancer cases,Number,25,Old-aged Adults
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,45,Old-aged Adults
2012,Newfoundland and Labrador,Females,Stomach,Number of new cancer cases,Number,5,Old-aged Adults
2012,Newfoundland and Labrador,Females,Colon and rectum,Number of new cancer cases,Number,20,Old-aged Adults
2012,Newfoundland and Labrador,Females,Liver,Number of new cancer cases,Number,5,Old-aged Adults
2012,Newfoundland and Labrador,Females,Lung and bronchus,Number of new cancer cases,Number,15,Old-aged Adults
2012,Newfoundland and Labrador,Females,Colon and rectum,Number of new cancer cases,Number,35,Old-aged Adults
2012,Newfoundland and Labrador,Females,Lung and bronchus,Number of new cancer cases,Number,20,Old-aged Adults
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,60,Old-aged Adults
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,50,Old-aged Adults
2012,Newfoundland and Labrador,Females,Lung and bronchus,Number of new cancer cases,Number,40,Old-aged Adults
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,40,Old-aged Adults
2012,Newfoundland and Labrador,Females,Colon and rectum,Number of new cancer cases,Number,30,Old-aged Adults
2012,Newfoundland and Labrador,Females,Lung and bronchus,Number of new cancer cases,Number,35,Old-aged Adults
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,15,Old-aged Adults
2012,Newfoundland and Labrador,Females,Colon and rectum,Number of new cancer cases,Number,15,Old-aged Adults
2012,Newfoundland and Labrador,Females,Lung and bronchus,Number of new cancer cases,Number,0,Old-aged Adults
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,10,Old-aged Adults
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,5,Old-aged Adults
2012,Newfoundland and Labrador,Females,Stomach,Number of new cancer cases,Number,0,Unknown
2012,Newfoundland and Labrador,Females,Colon and rectum,Number of new cancer cases,Number,0,Unknown
2012,Newfoundland and Labrador,Females,Liver,Number of new cancer cases,Number,0,Unknown
2012,Newfoundland and Labrador,Females,Lung and bronchus,Number of new cancer cases,Number,0,Unknown
2012,Newfoundland and Labrador,Females,Breast,Number of new cancer cases,Number,0,Unknown
2012,Prince Edward Island,Females,Stomach,Number of new cancer cases,Number,0,Child
2012,Prince Edward Island,Females,Colon and rectum,Number of new cancer cases,Number,0,Child
2012,Prince Edward Island,Females,Liver,Number of new cancer cases,Number,0,Child
2012,Prince Edward Island,Females,Lung and bronchus,Number of new cancer cases,Number,0,Child
2012,Prince Edward Island,Females,Breast,Number of new cancer cases,Number,0,Child
2012,Prince Edward Island,Females,Stomach,Number of new cancer cases,Number,0,Young Adults
2012,Prince Edward Island,Females,Colon and rectum,Number of new cancer cases,Number,0,Young Adults
2012,Prince Edward Island,Females,Liver,Number of new cancer cases,Number,0,Young Adults
2012,Prince Edward Island,Females,Lung and bronchus,Number of new cancer cases,Number,0,Young Adults
2012,Prince Edward Island,Females,Breast,Number of new cancer cases,Number,0,Young Adults
